Borough,Arts & Entertainment,Athletics & Sports,Bar,Bike Rental / Bike Share,Brewery,Food,Laundry Service,Market,Medical Center,Music Venue,Nightclub,Outdoors & Recreation,Park,Pharmacy,Plaza,Shopping Mall,Travel & Transport
Agronomia,12.0,8.0,1.0,0.0,0.0,27.0,0.0,2.0,14.0,0.0,0.0,23.0,3.0,0.0,2.0,0.0,26.0
Anchieta,6.0,2.0,2.0,0.0,17.0,45.0,0.0,3.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,33.0
Arquipélago,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0
Auxiliadora,48.0,49.0,32.0,0.0,8.0,50.0,23.0,14.0,48.0,13.0,24.0,45.0,3.0,50.0,10.0,6.0,30.0
Azenha,48.0,49.0,37.0,3.0,8.0,50.0,11.0,9.0,48.0,19.0,22.0,47.0,2.0,37.0,18.0,4.0,34.0
Bela Vista,49.0,49.0,18.0,1.0,5.0,50.0,21.0,5.0,48.0,12.0,6.0,46.0,4.0,39.0,17.0,5.0,16.0
Boa Vista,49.0,49.0,23.0,0.0,6.0,50.0,12.0,4.0,49.0,4.0,4.0,48.0,5.0,28.0,21.0,5.0,15.0
Bom Fim,48.0,50.0,50.0,10.0,13.0,50.0,32.0,20.0,50.0,26.0,34.0,43.0,8.0,50.0,23.0,11.0,31.0
Bom Jesus,37.0,48.0,7.0,0.0,1.0,50.0,0.0,4.0,49.0,4.0,6.0,48.0,0.0,9.0,13.0,1.0,30.0
Cascata,5.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,27.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,6.0
Centro,48.0,49.0,50.0,17.0,7.0,50.0,23.0,14.0,50.0,22.0,35.0,48.0,13.0,49.0,37.0,17.0,33.0
Chácara das Pedras,50.0,49.0,9.0,1.0,1.0,50.0,6.0,4.0,48.0,4.0,7.0,46.0,3.0,17.0,13.0,12.0,28.0
Cidade Baixa,49.0,50.0,50.0,20.0,19.0,50.0,26.0,21.0,50.0,41.0,48.0,46.0,13.0,48.0,42.0,8.0,33.0
Coronel Aparício Borges,30.0,26.0,4.0,0.0,0.0,46.0,0.0,10.0,29.0,3.0,4.0,41.0,2.0,5.0,4.0,0.0,25.0
Cristo Redentor,48.0,49.0,21.0,2.0,10.0,50.0,15.0,10.0,47.0,5.0,9.0,45.0,7.0,49.0,30.0,15.0,27.0
Farrapos,18.0,27.0,18.0,0.0,2.0,50.0,0.0,10.0,11.0,1.0,1.0,43.0,10.0,3.0,23.0,0.0,13.0
Farroupilha,48.0,50.0,50.0,13.0,19.0,50.0,34.0,17.0,50.0,29.0,32.0,42.0,7.0,49.0,22.0,11.0,31.0
Floresta,49.0,50.0,33.0,0.0,7.0,49.0,7.0,5.0,48.0,9.0,14.0,48.0,1.0,24.0,4.0,4.0,25.0
Glória,24.0,34.0,10.0,0.0,2.0,48.0,2.0,7.0,22.0,1.0,6.0,47.0,3.0,10.0,6.0,1.0,29.0
