Código,Espacialidades,População total 2010,IDHM 2010,IDHM Renda 2010,População 25 anos a 34 anos ,Renda per capita 2010
1.43149E+12,Agronomia ,4244,0.719,0.7,1087,623.38
1.43149E+12,Anchieta ,582,0.736,0.744,126,818.43
1.43149E+12,Arquipélago ,973,0.654,0.678,244,544.22
1.43149E+12,Auxiliadora,9683,0.947,0.99,2394,3792.29
1.43149E+12,Azenha ,9303,0.878,0.899,2556,2152.15
1.43149E+12,Bela Vista,11128,0.958,1,2573,7216.42
1.43149E+12,Boa Vista ,8008,0.958,1,1923,4403.05
1.43149E+12,Bom Fim,9450,0.94,0.981,3220,3591.85
1.43149E+12,Bom Jesus ,693,0.851,0.859,168,1680.17
1.43149E+12,Cascata ,8961,0.681,0.697,2323,610.25
1.43149E+12,Coronel Aparício Borges,8251,0.646,0.661,2199,489.26
1.43149E+12,Centro,39154,0.914,0.931,13095,2632.73
1.43149E+12,Chácara das Pedras,6668,0.958,1,1516,4403.05
1.43149E+12,Cidade Baixa,18450,0.932,0.929,6544,2586.31
1.43149E+12,Cristo Redentor,15801,0.868,0.903,4023,2202.5
1.43149E+12,Farrapos ,1788,0.846,0.843,524,1515.14
1.43149E+12,Farroupilha,961,0.927,0.973,213,3417.25
1.43149E+12,Floresta ,12139,0.878,0.899,3264,2152.15
1.43149E+12,Glória ,7450,0.853,0.858,1851,1669.56
1.43149E+12,Higienópolis,10724,0.953,0.996,2646,3931.41
1.43149E+12,Humaitá ,6656,0.862,0.851,1793,1595.35
1.43149E+12,Independência ,2121,0.925,0.971,660,3371.41
1.43149E+12,Jardim Botânico ,11812,0.906,0.948,3485,2910.87
1.43149E+12,Jardim Carvalho ,4686,0.654,0.678,1203,544.22
1.43149E+12,Jardim do Salso ,2569,0.94,0.981,742,3591.85
1.43149E+12,Jardim Floresta ,2724,0.817,0.811,643,1244.93
1.43149E+12,Jardim Itu-Sabará,756,0.927,0.973,157,3417.25
1.43149E+12,Jardim Lindóia,8.071,0.927,0.973,1912,3417.25
1.43149E+12,Jardim São Pedro,5290,0.871,0.89,1244,2028.95
1.43149E+12,Mário Quintana ,1704,0.593,0.623,413,385.91
1.43149E+12,Menino Deus ,28924,0.927,0.966,7347,3264.67
1.43149E+12,Moinhos de Vento,7264,0.958,1,1394,7216.42
1.43149E+12,Mont'Serrat,11236,0.958,1,3012,4403.05
1.43149E+12,Navegantes,3707,0.808,0.808,890,1220.08
1.43149E+12,Partenon ,4713,0.816,0.793,1139,1108.86
1.43149E+12,Passo D'Areia,2860,0.927,0.973,787,3417.25
1.43149E+12,Petrópolis ,511,0.817,0.811,131,1244.93
1.43149E+12,Praia de Belas ,1670,0.927,0.973,543,3417.25
1.43149E+12,Rio Branco ,9753,0.953,0.996,2765,3931.41
1.43149E+12,Rubem Berta ,18165,0.816,0.793,4993,1108.86
1.43149E+12,Santa Cecília,5768,0.94,0.981,1645,3591.85
1.43149E+12,Santa Maria Goretti,3320,0.846,0.843,871,1515.14
1.43149E+12,Santana ,22370,0.92,0.95,6366,2955.83
1.43149E+12,Santo Antônio,13714,0.888,0.878,3554,1883.02
1.43149E+12,São Geraldo,8706,0.851,0.859,2154,1680.17
1.43149E+12,São João ,5234,0.871,0.89,1280,2028.95
1.43149E+12,São Sebastião ,7019,0.887,0.915,1788,2371.03
1.43149E+12,Sarandi ,3001,0.627,0.674,782,531.9
1.43149E+12,Três Figueiras,4070,0.958,1,752,7216.42
1.43149E+12,Vila Jardim ,8265,0.781,0.778,2102,1012.04
1.43149E+12,Vila João Pessoa ,2491,0.689,0.71,601,662.53
