Borough,AreaPerSqMeter,Population,HabitantPerHA,IncomeAVG-SmPer/Month,Latitude,Longitude
Agronomia,12410000,12222.0,8.6,3.98,-30.0692668,-51.1492173
Anchieta,840000,203.0,2.4,8.41,-29.9805588,-51.1710616
Arquipélago,47180000,5061.0,1.1,2.96,-29.9927605,-51.226618
Auxiliadora,820000,9985.0,121.8,19.57,-30.0200106,-51.1905879
Azenha,1260000,13449.0,106.7,10.73,-30.0507214,-51.2156071
Bela Vista,920000,9621.0,104.6,34.68,-30.0353173,-51.1903512
Belém Novo,29250000,13787.0,4.7,4.49,-30.2108984,-51.1795653
Belém Velho,8660000,7876.0,9.1,4.94,-30.1155228,-51.1793764
Boa Vista,1600000,8691.0,54.3,25.76,-30.0247805,-51.1745238
Bom Jesus,1790000,28229.0,157.7,3.97,-30.0427211,-51.1626625
Bom Fim,380000,11351.0,298.7,15.8,-30.0333968,-51.2117199
Camaquã,2240000,21723.0,97.0,6.65,-30.1091543,-51.2382261
Campo Novo,5920000,7652.0,12.9,4.7,-30.1345907,-51.1988176
Cascata,6910000,24130.0,34.9,3.17,-30.0878685,-51.1827184
Cavalhada,3570000,19854.0,55.6,7.48,-30.1043906,-51.226694
Centro,2280000,36862.0,161.7,12.61,-30.0325029,-51.2303294
Chácara das Pedras,1020000,7034.0,69.0,20.68,-30.0341341,-51.1624528
Cidade Baixa,790000,16634.0,210.6,11.2,-30.0402405,-51.2218676
Coronel Aparício Borges,2780000,22786.0,82.0,4.33,-30.0690735,-51.1830696
Cristal,2700000,21054.0,78.0,8.53,-30.089507,-51.2394761
Cristo Redentor,1480000,16103.0,108.8,10.61,-30.0147017,-51.1563013
Espírito Santo,1740000,5734.0,33.0,11.02,-30.1501099,-51.2211468
Farrapos,1650000,17019.0,103.1,3.0,-29.9838739,-51.1955535
Farroupilha,570000,1101.0,19.3,16.66,-30.0382929,-51.2128457
Floresta,1670000,14941.0,89.5,12.39,-30.0150916,-51.2096662
Glória,1050000,8809.0,83.9,10.37,-30.0763219,-51.1968056
Guarujá,1260000,2589.0,20.5,12.62,-30.1564771,-51.2230755
Higienópolis,1030000,9096.0,88.3,17.53,-30.013821,-51.1822698
